Name,Product Price,Product URL,Rating,No. of Reviews,ASIN,Item Weight,Manufacturer,Model Number,Quantity,Generic Name,Description
ADISA Laptop Backpack 31 Ltrs,499,https://amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC,4.0 out of 5 stars,"9,284",B07G3CG9FC,430 g,ADISA,BP004,1.00 Unit,Laptop backpack,N/A
POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,"1,399",https://amazon.in/Police-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN,4.1 out of 5 stars,"5,527",B09CQ5T3LN,670 g,N/A,Backpack,N/A,N/A,Backpack
DEIN KLEIDER Men's Nylon Messenger Bag,349,https://amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M,4.0 out of 5 stars,"4,879",B084ZHP97M,190 g,N/A,N/A,N/A,Messenger Bag,"Spacious and convenient, ideal for use as Messenger Bag.perfect product from DEIN KLEIDER for storing in your Objects to take with you for extra storage."
F Gear Luxur Brown 25 liter Laptop Backpack (2404),"1,162",https://amazon.in/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA,4.4 out of 5 stars,"16,733",B01F7AX9ZA,720 g,Uber Fashion Merchandise Pvt. Ltd.,Uber061,1 count,Laptop Backpack,"A fashionable laptop backpack. This full-featured pack makes space for everything essential with multiple zip pockets on the exterior, plus a ready-to-go interior with padded laptop compartment and other storage solutions. Pattern: Solid. Laptop Size: 16"
Half Moon 55 litres Travelling Laptop Bag/Rucksack Backpack for Luggage Travel Journey Trekking Hiking Bags for Men Women Boys and Girls with Laptop Compartment & Rain Cover,899,https://amazon.in/Half-Moon-Travelling-Rucksack-Compartment/dp/B09WDGZ32L,4.0 out of 5 stars,432,B09WDGZ32L,800 g,Half_Moon,bags for mens,N/A,N/A,N/A
"Artistix Talon Anti Theft Design Laptop Backpack, With USB Charging Port (46 Cm, 25L,Black)",999,https://amazon.in/Artistix-Backpack-Anti-Theft-Charging-Resistance/dp/B082PKX18C,4.3 out of 5 stars,"3,279",B082PKX18C,499 g,"Durant International. Address : GIDC Lodhika, Rajkot-360021, Gujarat. Customer Care : 9809804990",Talon,N/A,N/A,"Business Casual Charging Pack. USB CHARGING, GUARD AGAINST THEFT, WATER REPELLENT FABRIC. For Business travel. Structure: Laptop / Ipad Pocket / Phone / Document / Camera / Zipper Pockets.... Capacity: 15.6 Inches Laptop / I pad / Clothes / water bottle/ Umbrella / Cosmetic. No of Compartment : 1"
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",398,https://amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8,4.1 out of 5 stars,"8,997",B088XB5XY8,‎200 g,"‎Korrun India Pvt. Ltd, Plot No.25, P2(4&X), 1st Phase, Bidadi Industrial area, Bangalore-562109, Karnataka",‎25740,1 count,Backpack,N/A
AUXTER Faux Leather 23 Cms Duffle Bag(AUX_GB_LE_Black -SE_0521_Black),376,https://amazon.in/AUXTER-BLACKY-Duffel-Emboss-Black/dp/B07F2H25NP,4.3 out of 5 stars,"9,121",B07F2H25NP,300 g,Auxter,AUX_GB_LE_BLACK -SE__0521,N/A,N/A,N/A
F Gear Colorado Grey Orange 39 Ltrs Laptop Backpack (3814),895,https://amazon.in/Gear-Colorado-Orange-Laptop-Backpack/dp/B097K6KD7W,4.3 out of 5 stars,156,B097K6KD7W,630 g,Uber Fashion Merchandise Pvt Ltd,3814,N/A,Laptop Backpack,F Gear presents gigantic laptop backpack blends style and functionality. It comes with substantial capacity to accommodate your laptop and several other essentials with ease. This bag does way more than just look good. It provides extra protection for all your valuable devices. The dimensions of the bag are - 34 x 22 x 52 with a capacity of 39 L. To describe it briefly here are the following points: 1. This backpack is made of polyester fabric and is treated to make it water-resistant. 2. This backpack comes with 2-main zippered compartment with an inside sleeve compatible for laptop. 3. This backpack has a front compartment with an organizer. 4. This backpack comes with one zippered front pocket & one quick access mesh zippered. 5. This backpack is equipped with thick padding with anti-sweat breathable air mesh & adjustable padded shoulder straps for extra comfort. 6. Apart from this it has world’s best Japanese brand YKK zippers and sliders. 7. This backpack has two mesh pockets on both sides. 8. Comes with the F Gear promise of quality and durability.
"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",398,https://amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7,4.1 out of 5 stars,"8,997",B088XH1BP7,‎200 g,"‎Korrun India Pvt. Ltd, Plot No.25, P2(4&X), 1st Phase, Bidadi Industrial area, Bangalore-562109, Karnataka",‎25741,1 count,Backpack,N/A
Gear Vintage2 Anti Theft Faux Leather 18 cms Tan Laptop Backpack,836,https://amazon.in/Gear-Vintage2-Leather-Backpack-LBPVG2LTH1901/dp/B07G4F3758,4.3 out of 5 stars,"1,555",B07G4F3758,600 g,Gear,LBPVG2LTH1901,1 count,Bag,N/A
"WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",599,https://amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL66G55,4.0 out of 5 stars,"1,234",B09QL66G55,640 g,ADL International,BP012,1.00 count,Travel Backpack,N/A
ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Green),599,https://amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVCBFM7,3.8 out of 5 stars,141,B0BPVCBFM7,650 g,ADISA,BP043,1 Piece,Laptop backpack,N/A
"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel bag for men and women(Epower)",649,https://amazon.in/TRUE-Emperor-Anti-Theft-backpack-charging/dp/B0BYB631NR,3.5 out of 5 stars,33,B0BYB631NR,450 g,Rama luxury store,Epower_1,N/A,N/A,N/A
ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Black),599,https://amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPTV3795,3.8 out of 5 stars,141,B0BPTV3795,650 g,ADISA,BP043,1 Piece,Laptop backpack,N/A
